﻿M2341-14_0_0_1,There is a lingering smell of white vinegar...,มีกลิ่นน้ำส้มสายชูขาวจางๆ ที่ไม่จางหายไป...
M2341-14_0_0_2,"This firewood room... something is wrong, but I can't tell what's wrong...",โรงเก็บฟืนหลังนี้... มีกลิ่นอายบางอย่างที่แฝงเร้น แต่ข้าก็ไม่อาจล่วงรู้ได้ว่ามันคือสิ่งใด...
M2341-14_op1_1,Investigate carefully <color=#097a76>(Explore reaches level 5 Master)</color>,ตรวจสอบให้ถี่ถ้วน <color=#097a76>(สำรวจถึงระดับ 5)</color>
M2341-14_op1_2,Use the skills you learned at the Crime Investigation Bureau.,ใช้วิชาที่ได้ร่ำเรียนมาจากสำนักเทพมือปราบ
M2341-14_op1_3,Ask teammates for help.,ขอความช่วยเหลือจากสหายร่วมรบ
M2341-14_op1_4,Ignore these.,เพิกเฉยต่อข้อสงสัยเหล่านี้
M2341-14_0_2_1,I know where the problem comes from...,ข้าเข้าใจแล้วว่าต้นตอความผิดปกตินี้มีต้นกำเนิดจากที่ใด...
M2341-14_0_2_2,"Firstly, the woodshed should be near the kitchen, at least not too far away. But the woodshed of Penglai Sect is not visible from the kitchen.",อันดับแรก โรงเก็บฟืนควรจะอยู่ใกล้กับโรงครัว อย่างน้อยก็ไม่ควรอยู่ไกลกันนัก แต่ทว่าบริเวณโรงเก็บฟืนของสำนักเผิงไหลกลับไม่ปรากฏโรงครัวให้เห็น
M2341-14_0_2_3,"Considering the ventilation of this room, it can't be considered a woodshed at all. The firewood and grain stored in the room will get damp in a few shichen.",ด้วยสภาพการระบายอากาศของเรือนหลังนี้ กล่าวได้ว่ามิใช่โรงเก็บฟืนโดยประการทั้งปวง ฟืนและธัญพืชที่เก็บไว้ในเรือน คงจะอับชื้นภายในไม่กี่ชั่วยาม
M2341-14_0_2_4,"The materials used for the walls and floors of this room are too luxurious to build a firewood room. Of course, if this is the style of Penglai Sect, it is not something to be criticized.",วัสดุที่ใช้สร้างผนังและพื้นของเรือนหลังนี้นับว่าหรูหราเกินกว่าจะใช้เป็นโรงเก็บฟืน หากนี่เป็นวิถีของสำนักเผิงไหล ก็คงมิอาจติเตียนได้
M2341-14_0_2_5,"But these wall decorations and carpets... The firewood room is not a place for guests, who would put these things in the firewood room?",แต่เครื่องประดับผนังและพรมเหล่านั้น... โรงเก็บฟืนมิใช่ที่สำหรับแขกผู้มาเยือน ผู้ใดกันที่จะนำสิ่งของเหล่านั้นมาไว้ในโรงเก็บฟืนกัน
M2341-14_0_3_1,"Finally, this cabinet... There is nothing wrong with the cabinet, but it seems to be placed unevenly, a bit tilted, is there something stuffed behind it?",สุดท้ายคือตู้ใบนี้... ตู้ก็ไม่มีปัญหาอะไรหรอก แต่รู้สึกว่ามันวางไม่ตรงที่ ดูเหมือนจะเอียงๆ หรือว่ามีอะไรยัดไว้ข้างหลังกัน
M2341-14_1_0_1,Something is wrong.,มีบางสิ่งไม่ถูกต้อง
