﻿BuffInfo_DLC教学特征1,Giant Roll increases Attack and Defense.,เพิ่มการโจมตีและการป้องกันอย่างมาก
BuffName_DLC教学特征1,Unity of Heaven and Man,คนฟ้ารวมเป็นหนึ่ง
guid-1_name,Attack <color=#c44b0e>Blue Wind Camp</color>,โจมตี <color=#c44b0e>ค่ายวายุคราม</color>
guid-1_log,"After launching an attack on Blue Wind Camp through the <color=#c44b0e>Attack</color> function, click <color=#c44b0e>""Execute""</color> to enter the next round!","หลังจากเริ่มโจมตีค่ายวายุครามโดยการใช้ฟังก์ชัน <color=#c44b0e>โจมตี</color> กดปุ่ม <color=#c44b0e>""เริ่ม""</color> เพื่อเริ่มรอบถัดไป!"
guid-1_username1,A young and pleasant female voice,เสียงสตรีที่ไพเราะเสนาะหู
guid-1_username2,A cute and obedient girl,หญิงสาวน่ารักนิสัยดี
guid-1_1_1,"Hey! Wake up!\nIf you don't wake up, I'm going to draw a turtle on your face!","นี่! ตื่นเดี๋ยวนี้!\nหากเจ้ายังไม่ตื่นข้าจะวาดรูปเต่าลงบนหน้าเจ้าแล้วนะ!"
guid-1_1_2,"Don't bother me sleeping, if you want to draw, just draw, anyway you can't draw it right...",ปล่อยข้านอนเถอะ หากเจ้าอยากจะวาดก็วาด ยังไงเจ้าก็วาดไม่เป็นรูปอยู่ดี....
guid-1_1_3,"It sounds like a little girl's voice!!!\nIs there a thief in the house, or did I sleep in the wrong place???","นี่ฟังดูเหมือนเสียงเด็กผู้หญิง!!!\nมีโจรเข้ามาในบ้าน หรือว่าข้านอนหลับผิดที่กันแน่เนี่ย???"
guid-1_1_4,"You're so annoying, brother. If you woke up a little later, this turtle could have been more lifelike.",ศิษย์พี่นี่น่ารำคาญจริงๆ หากท่านตื่นมาช้ากว่านี้ล่ะก็ เต่าข้าคงจะเดินได้แล้ว
guid-1_1_5,"Who are you, girl? Who is your brother?",เจ้าคือใครหรือแม่นาง ใครคือศิษย์พี่ของเจ้า
