﻿RandomBattle_0,Start Battle,เริ่มการต่อสู้
RandomBattle_1,Sophistry (Success Rate: {0}%),ตบตา(อัตราความสำเร็จ: {0}%)
RandomBattle_2,Escape (Success Rate: {0}%),หนี(อัตราความสำเร็จ: {0}%)
RandomBattle_3,Pay {0} Wen,จ่าย {0} อีแปะ
RandomBattle_4,Pay 1 {0}: {1},จ่าย 1{0}:{1}
startTip_上京城,"The Government Office is looking for you everywhere, but you came to us!",ทางการกําลังตามหาเจ้าไปทั่ว แต่เจ้ากลับมาหาพวกเรา! 
fightTip_上京城,"Assaulting a Government Office employee is a serious crime, are you ignorant of the law?",การทําร้ายเจ้าหน้าที่ ศาลาว่าการ ถือเป็นอาชญากรรมร้ายแรงเจ้าไม่รู้กฏหมายหรือไง?
explainSuccessTip_上京城,"What you said makes sense, I can't refute it!",ที่พูดมาก็ฟังดูมีเหตุผล ข้าไม่มีข้อโต้แย้งใดๆ
explainFailTip_上京城,"Confession is lenient, resistance is strict! Everything you say will be used as evidence, and lying will increase your punishment!",สารภาพโทษสถานเบา ขัดขืนโทษสถานหนัก ทุกคำพูดของเจ้าจะถูกบันทึกไว้ หากคำใดโกหกต้องรับโทษเพิ่ม! 
apologySuccessTip_上京城,"Since you are so sincere, go ahead, I didn't see anything!",ในเมื่อท่านจริงใจเช่นนี้ เชิญ ข้าจะถือว่าไม่เห็นสิ่งใดทั้งนั้น!
apologyItemQuitTip_ 上京城,"The Capital Prison welcomes you, come with me!",เรือนจำเมืองหลวงยินดีต้อนรับ ตามข้ามา!
runAwaySuccessTip_上京城,"Arrogant people will fall sooner or later! Remember, the net of heaven is wide but lets nothing through!",คนหยิ่งผยองจะพลาดพลั้งไม่ช้าก็เร็ว! สวรรค์มีตาฟ้ามีแวว เจ้าไม่มีทางหนีพ้น
runAwayFailTip_上京城,You think you can escape from the Government Office? That would be a disgrace to my uniform!,เจ้าคิดว่าสามารถหลบหนีจากศาลาว่าการได้หรือ? นั่นคงทำให้เครื่องแบบของข้าเสื่อมเสียแล้ว!
failMoneyTip_上京城,"The food has been scarce lately, we were just about to have a feast! Kid, you're in luck!",ช่วงนี้อาหารขาดแคลน ไอ้หนู เจ้าโชคดีมากนะที่พวกเรากำลังฉลองกันพอดี!
failItemOtherTip_上京城,"How did you get such a valuable treasure? You must have stolen it, right? Confiscated!",เหตุใดเจ้าจึงมีของล้ำค่าเช่นนี้? เจ้าขโมยมาใช่ไหม? ยึดเอาไว้!
failItemBagTip_上京城,"The goods are confiscated, you can go now, go wherever you want!",ของถูกยึดแล้ว จะไปไหนก็ไป!
failBuffTip_上京城,I hope you reflect on your actions! Don't show up in public for a while!,ข้าหวังว่าเจ้าจะไตร่ตรองการกระทำของตนนะ! ช่วงนี้อย่าปรากฏตัวในที่สาธารณะสักพัก!
startTip_霖安城,"The Government Office is looking for you everywhere, but you came to us!",ทางการกําลังตามหาเจ้าไปทั่ว แต่เจ้ากลับมาหาพวกเรา! 
fightTip_霖安城,"Assaulting a Government Office employee is a serious crime, are you ignorant of the law?",การทําร้ายเจ้าหน้าที่ทางการถือเป็นอาชญากรรมร้ายแรง เจ้าไม่รู้กฏหมายหรืออย่างไร?
explainSuccessTip_霖安城,"What you said makes sense, I can't refute it!",ที่พูดมาก็ฟังดูมีเหตุผล ข้าไม่มีข้อโต้แย้งใดๆ
