﻿end015_1,Life is impermanent and constantly changing; home can be found wherever you discover peace of mind.,ชีวิตเป็นสิ่งไม่เที่ยงและเปลี่ยนแปลงตลอดเวลา บ้านสามารถเป็นได้ทุกที่ที่เจ้ารู้สึกสบายใจ
end015_2,"Now, the martial arts world is without a young hero, and in a remote village, a new youthful village head has emerged.",ตั้งแต่นั้นมา จอมยุทธน้อยก็ได้หายตัวไปจากยุทธภพ และหัวหน้าหมู่บ้านหนุ่มก็ปรากฏตัวขึ้นในหมู่บ้านไร้นาม
end015_3,You've come to the realization that what you truly yearn for could be a peaceful and tranquil rural life.,ในที่สุดเจ้าก็ตระหนักได้ว่าสิ่งที่เจ้าใฝ่ฝันอย่างแท้จริง มันอาจจะเป็นชีวิตในชนบทที่สงบสุข
end017_1,"Dodging a visible spear is easy, but defending against a hidden bow with an arrow is challenging. Be cautious of others and wiser in your next life.",มันง่ายที่จะหลบเลี่ยงหอกที่มองเห็น แต่ยากที่จะหลีกเลี่ยงลูกธนูที่ซ่อนอยู่ เจ้าต้องหัดระมัดระวังผู้อื่นและฉลาดยิ่งขึ้นในชีวิตหน้า
end018_1,"With determination, you cast aside all restrictions and opt to embrace a new life in its most primitive form.",เจ้าละทิ้งความสัมพันธ์ทั้งหมดอย่างเด็ดเดี่ยวและเลือกที่จะสัมผัสประสบการณ์ชีวิตใหม่ด้วยวิธีดั้งเดิมที่สุด
end019_1,"In the presence of millions of armored soldiers, no matter how many martial arts experts there are, their combined prowess is not enough to alter the course of the battle.",ต่อหน้าทหารหุ้มเกราะนับล้าน ไม่ว่าจะมีปรมาจารย์แห่งวรยุทธสักกี่คนก็ไม่เพียงพอที่จะเปลี่ยนผลของสงครามได้
end019_2,"In your desperate struggle, the destiny of Chuxiang City being breached remains unchanged.",แม้เจ้าจะเสี่ยงชีวิตต่อสู่ แต่ก็ยังคงไม่สามารถเปลี่ยนชะตากรรมของเมืองฉู่เซียงที่ถูกทำลายได้
end019_3,"The Yan army tramples over bodies, surging into Chuxiang City like a tide, pillaging through its streets.",กองทัพเยี่ยนเหยียบย่ำร่างของเจ้า หลั่งไหลเข้าสู่เมืองฉู่เซียงดังกระแสน้ำเชี่ยว ออกปล้นสะดมไปทั่วเมือง
end019_4,"Despite your zeal, you are powerless to alter the course of events. Amidst agonizing screams, you helplessly close your eyes...",แม้ว่าเจ้าจะไม่เต็มใจแค่ไหน แต่เจ้าก็ไม่มีพลังที่จะเปลี่ยนแปลงเหตุการณ์ที่เกิดขึ้นได้ ท่ามกลางเสียงกรีดร้องอันเจ็บปวด เจ้าหลับตาลงอย่างช่วยไม่ได้...
end020_1,"In this chaotic world, what you accomplished in your past life has become meaningless. All that remains in the martial arts world is an unmarked, lonely grave left by you.",ในโลกที่วุ่นวายใบนี้ สิ่งที่เจ้าทำไว้ล้วนกลายเป็นไร้ความหมาย ทั้งหมดที่เจ้าทิ้งไว้ให้กับยุทธภพคือหลุมศพที่โดดเดี่ยวและไม่มีใครจดจำ
end021_1,"A hundred days ago, you were a nobody.",เมื่อร้อยวันก่อน เจ้ายังเป็นคนที่ไม่มีใครรู้จัก
