﻿CharaName_NameFormat,{0} {1},{0} {1}
CharaName_不苟言笑的道士,Serious Taoist,นักพรตเต๋าท่าทีเคร่งเครียด
CharaName_深沉阴冷的汉子,Deep and cold man,ชายผู้สุขุมนุ่มลึก
CharaName_脏兮兮的小乞丐,Dirty little beggar,ขอทานสกปรกตัวน้อย
CharaName_满脸凶相的大汉,Fierce-looking man,ชายหน้าตาดุดัน
CharaName_娇憨可掬的女孩,Cute and naive girl,หญิงสาวน่ารักและไร้เดียงสา
CharaName_一身酒气的汉子,Man reeking of alcohol,คนขี้เมา
CharaName_一脸冷峻的年轻人,Stern-faced young man,ชายหนุ่มสีหน้าเคร่งขรึม
CharaName_姿容秀丽的女孩,Beautiful girl,สาวงาม
CharaName_活力开朗的女孩,Lively and cheerful girl,สาวน้อยร่าเริงมีชีวิตชีวา
CharaName_阴沉狡诈的怪人,Gloomy and cunning weirdo,คนประหลาดที่มืดมนและเจ้าเล่ห์
CharaName_威风凛凛的将军,Majestic general,คนสง่างามทั่วไป
CharaName_气度不凡的道士,Taoist with extraordinary bearing,นักพรตเต๋าที่ไม่ธรรมดา
CharaName_贵气的中年人,middle-aged nobleman,ขุนนางวัยกลางคน
CharaName_醉眼迷离的中年人,Drunken middle-aged man,คุณลุงขี้เมา
CharaName_气度儒雅的老者,Elegant and Scholarly Elder,ปราชญ์อาวุโสผู้สง่างาม
CharaName_面带微笑的公子,Smiling young master,ปรมาจารย์หนุ่มยิ้ม
CharaName_一本正经的道人,Serious Taoist,นักพรตเต๋าท่าทีเคร่งเครียด
CharaName_古怪打扮的戏子,Strangely dressed actor,นักแสดงแต่งตัวแปลก
CharaName_风姿绰约的女郎,Graceful girl,สาวน้อยที่สง่างาม
CharaName_冷酷的中年人,Cold middle-aged man,คุณลุงเย็นชา
CharaName_神情肃穆的僧人,Solemn monk,หลวงจีนผู้เคร่งขรึม
CharaName_沉默内敛的僧人,Silent and introverted monk,หลวงจีนผู้เงียบขรึม
CharaName_肮脏邋遢的头陀,Sloppy monk,หลวงจีนทุศีล
CharaName_贼眉鼠眼的官员,Sneaky-looking official,เจ้าหน้าที่ที่ดูลับ ๆ ล่อ ๆ
CharaName_脾气暴躁的官员,Hot-tempered official,เจ้าหน้าที่หัวร้อน
CharaName_冷漠高傲的女子,Cold and arrogant woman,ผู้หญิงเย็นชาและเย่อหยิ่ง
CharaName_凶相毕露的乞丐,Fierce-looking beggar,ขอทานชั่วร้าย
CharaName_不怀好意的婆子,Malicious old woman,หญิงชราที่เป็นอันตราย
CharaName_大腹便便的屠户,Fat butcher,คนขายเนื้อตัวกลม
CharaName_戾气深重的汉子,Heavy hostile man,ชายไม่เป็นมิตร
CharaName_倔强的年轻小将,Stubborn young soldier,ทหารหนุ่มหัวแข็ง
CharaName_霸气内敛的中年人,Dominant and introverted middle-aged man,ชายวัยกลางคนที่โดดเด่นและเก็บตัว
CharaName_阴沉精明的公子哥,Gloomy and shrewd young master,ปรมาจารย์หนุ่มผู้มืดมนและฉลาด
CharaName_深沉寡言的壮汉,Deep and reticent strong man,ผู้ชายแข็งแกร่งที่ลึกลับและเงียบขรึม
CharaName_不怒自威的中年人,Majestic middle-aged man.,ชายวัยกลางคนผู้สง่างาม
CharaName_阴恻恻的书生,Melancholic scholar,ปราชญ์ผู้โศกเศร้า
CharaName_干练豪爽的女子,Able and bold woman.,ผู้หญิงที่เก่งและกล้าหาญ
CharaName_目盲的汉子,Blind man,ชายตาบอด
CharaName_飘逸出尘的老者,Elegant and detached elder,ผู้เฒ่าที่สง่างามและโดดเดี่ยว
CharaName_萎靡不振的年轻人,Depressed young man,ชายหนุ่มผู้ซึมเศร้า
CharaName_霸气外露的老者,Domineering elder,ผู้เฒ่าผู้ถูกครอบงำ
CharaName_不善言辞的剑客,Unspoken swordsman,มือกระบี่เงียบขรึม
CharaName_英姿飒爽的女子,Valiant woman,สตรีผู้ห้าวหาญ
CharaName_开朗豪放的剑客,Cheerful and unrestrained swordsman,นักดาบที่ร่าเริงและไร้การควบคุม
CharaName_沉默寡言的武士,Silent and taciturn warrior,นักรบผู้เงียบงันและเงียบขรึม
CharaName_阴恻狞笑的武士,Gloomy and grinning warrior,นักรบที่มืดมนและยิ้มแย้ม
CharaName_柔情似水的女子,Gentle and caring woman,หญิงสาวที่สุภาพอ่อนโยน
CharaName_面上有疤的糙汉子,Rough man with a scar on his face,ชายหยาบกร้านที่มีแผลเป็นบนหน้า
CharaName_机谋睿智的书生,Cunning and wise scholar,ปราชญ์ผู้ชาญฉลาด
CharaName_秀丽脱俗的女子,Elegant and refined woman,หญิงสาวที่สุภาพและสง่างาม
CharaName_精明睿智的生意人,Shrewd and wise businessman,นักธุรกิจที่ชาญฉลาด
CharaName_冷艳高傲的道姑,Cold and proud Taoist nun,แม่ชีลัทธิเต๋าที่เย็นชาและเย่อหยิ่ง
CharaName_皮糙肉厚的胖汉,Hardy fat man,คนอ้วนที่แข็งแกร่ง
CharaName_尖嘴猴腮的瘦子,Skinny guy with a sharp tongue,ชายร่างผอมวาจาเราะร้าย
CharaName_衣衫褴褛的怪老头,Ragged old man,ชายชรามอมแมม
CharaName_游历江湖的剑客,Wandering swordsman,มือกระบี่พเนจร
CharaName_神采奕奕的男子,Man in good spirits,ผู้ชายมีจิตใจดี
CharaName_沉默的独眼浪客,Silent one-eyed wanderer,ผู้พเนจรตาเดียวที่เงียบขรึม
CharaName_财大气粗的富商,Rich merchant,พ่อค้าร่ำรวย
CharaName_气质如兰的女子,Woman with an orchid-like temperament,ผู้หญิงที่มีอารมณ์อ่อนไหว
CharaName_一丝不苟的郎中,Meticulous doctor,คุณหมอสุดเข้มงวด
CharaName_颇有心机的将军,Cunning General,แม่ทัพเจ้าเล่ห์
CharaName_嚣张跋扈的公子,Arrogant and domineering young master,ปรมาจารย์หนุ่มผู้หยิ่งผยองและอีโก้สูง
CharaName_傲慢冷酷的少年,Arrogant and cold youth,ผู้เยาว์ที่เย่อหยิ่งและเย็นชา
