﻿FondTag_武器,Weapon,อาวุธ
FondTag_拳套,Glove,ถุงมือ
FondTag_剑,Sword,กระบี่
FondTag_刀,Knife,ดาบ
FondTag_枪,Spear,หอก
FondTag_棍,Stick,ไม้เท้า
FondTag_扇子,Fan,พัด
FondTag_匕首,Dagger,มีด
FondTag_笔,Pen,พู่กัน
FondTag_琴,Zither,กู่ฉิน
FondTag_箫,Flute,ขลุ่ย
FondTag_锤,Hammer,ค้อน 
FondTag_琵琶,Lute,ผีผา
FondTag_暗器,Throwing,อาวุธลับ
FondTag_护甲,Armor,เกราะ
FondTag_配饰,Accessory,เครื่องประดับ
FondTag_秘籍,Manual,เคล็ดวิชา
FondTag_药材,Herb,สมุนไพร
FondTag_毒物,Toxic,พิษ
FondTag_食物,Food,อาหาร
FondTag_主食,Main,อาหารหลัก
FondTag_菜肴,Side,จาน
FondTag_汤水,Soup,น้ำแกง
FondTag_甜食,Sweets,ขนม
FondTag_水果,Fruit,ผลไม้
FondTag_药品,Medicine,ยา
FondTag_丹药,Pill,โอสถ
FondTag_典籍,Archive,คลังเก็บเอกสารสำคัญ
FondTag_食材,Ingredient,วัตถุดิบ
FondTag_蔬菜,Vegetable,ผัก
FondTag_豆类,Bean,ถั่ว
FondTag_山珍,Wild herb,สมุนไพรป่า
FondTag_调料,Spice,เครื่องเทศ
FondTag_面,Noodles,ก๋วยเตี๋ยว
FondTag_肉食,Meat,เนื้อ
FondTag_畜肉,Cattle meat,เนื้อสัตว์
FondTag_野味,Wild game,เกมผืนป่า
FondTag_水产,Aquatic,สัตว์น้ำ
FondTag_河鲜,Fresh water,อาหารสดแม่น้ำ
FondTag_鱼类,Fish,ปลา
FondTag_茶叶,Tea leaf,ใบชา
FondTag_绘画,Painting,ภาพวาด
FondTag_字帖,Calligraphy,ประดิษฐ์ตัวอักษร
FondTag_玩具,Toy,ของเล่น
FondTag_装饰,Ornament,ของประดับ
FondTag_文房,Study,ศึกษา
FondTag_器具,Appliance,ภาชนะ
FondTag_小说,Novel,นิยาย
FondTag_公案小说,Detective novel,นวนิยายสืบสวน
FondTag_言情小说,Romance novel,นวนิยายโรแมนติก
FondTag_志怪小说,Miscellaneous novel,นิยายแปลกๆ
FondTag_侠义小说,Wuxia novel,นิยายกำลังภายใน
FondTag_化妆品,Cosmetic,เครื่องสำอาง
FondTag_眉黛,Eyebrow,คิ้ว
FondTag_胭脂,Lipstick,ชาดทาปาก
FondTag_妆粉,Powder,แป้งแต่งหน้า
FondTag_酒,Wine,สุรา
FondTag_碎银,Scrap silver,เศษเงิน
FondTag_金银,Gold, ทอง
FondTag_虫子,Bug,แมลง
FondTag_矿石,Ore,แร่
FondTag_宝石,Gem,อัญมณี
FondTag_木材,Wood,ไม้
FondTag_皮革,Leather,หนัง
FondTag_布料,Cloth,ผ้า
FondTag_水,Water,น้ำ
FondTag_鉴定物品,Appraise item,รายการประเมิน
FondTag_宝箱物品,Item chest,หีบสมบัติ
FondTag_工具,Tool,เครื่องมือ
FondTag_货币,Money,เงิน
FondTag_经验,Experience,ประสบการณ์
FondTag_毒药,Poison,พิษ
FondTag_钱袋,Money bag,ถุงเงิน
FondTag_菜刀,Kitchen knife,มีดทำครัว
FondTag_包裹,Inventory,รายการสิ่งของ
FondTag_铜管,Cooper tube,ท่อทองแดง
FondTag_锦盒,Brocade box,กล่องผ้า
FondTag_竹简,Bamboo script,ตำราม้วนไม้ไผ่
